words,count,action
abandoned,9,
abattoir,9,
abdominal,22,
aberrant,12,
ability,228,
abiotic,32,
able,207,x
abnormal,66,
abolished,24,
abortion,12,
absence,126,
absent,38,
absolute,35,
absorbed,24,
absorption,68,
abstract,35,x
abts,19,
abundance,233,
abuse,18,
acacia,16,
academic,61,academic
academy,44,academic
academy_sciences,12,academic
accelerate,44,
acceptance,85,acceptance
acceptor,23,acceptance
access,126,x
accessory,11,
accompanied,47,x
accomplished,21,x
according,313,x
accordingly,34,x
account,143,x
accumulation,213,
accuracy,31,accuracy
accurate,63,accuracy
ace,25,
acetaldehyde,21,
acetate,221,
acetone,23,
acetonitrile,9,
acetyl,30,
acetylcholine,12,
acetylcholinesterase,21,
acetylglucosamine,10,
ache,19,
achieved,207,x
acid,808,
acidification,15,
acinetobacter,9,
acoustic,9,
acquired,53,x
acquisition,26,x
acrosome,34,
act,125,
actin,26,
actinobacteria,15,
action,255,
activity,1589,
actors,10,
actual,39,x
acute,182,
acyl,21,
adaptation,146,
add,17,x
added,228,x
addition,757,x
additionally,185,x
address,104,x
adducts,12,
adenocarcinoma,12,
adenosine,17,
adequate,117,
adf,9,
adg,10,
adherence,29,
adhesion,42,
adipocytes,19,
adipokines,10,
adiponectin,15,
adipose,29,
adjacent,31,x
adjusted,143,x
adjuvant,20,x
administered,200,administration
administration,266,administration
admission,14,x
adolescents,32,
adoption,31,
adp,11,
adrenal,19,
adrenergic,10,
adsorbed,26,
adsorption,43,
adult,282,adulthood
adulthood,24,adulthood
advanced,95,x
advantages,94,x
adverse,85,
advisable,12,
aeration,32,
aerial,35,
aerial_parts,23,
aerobic,77,
aerodynamic,9,
aeruginosa,19,
affected,685,x
affiliative,11,
affinity,111,
afforded,12,x
afm,11,x
aforementioned,11,x
africa,38,africa
african,25,africa
agar,40,
agave,33,
age,509,
agency,10,
agenda,9,
agents,201,
agglutination,10,agglutination
agglutinin,12,agglutination
aggravates,13,
aggregates,91,x
aggressive,43,
agitation,13,
ago,12,x
agonist,79,
agreed,25,x
agreement,65,x
agricultural,104,
agro,14,
agroecosystems,9,
agroindustrial,14,
aids,56,
aim,959,x
air,108,
airborne,20,
akt,22,x
ala,9,x
alanine,14,
albicans,10,
albumin,32,
alcohol,138,
aldehydes,16,
alfalfa,20,
algae,40,
algal,21,
alginate,18,
algorithm,31,
aligned,13,
alimentos,14,
aliphatic,12,
alive,16,
alkali,11,
alkaline,54,
alkaloids,20,
alkanes,10,
allele,74,
alleviate,16,
allocation,33,
allodynia,13,
allometric,10,
allowed,424,x
alloxan,23,
alpha,70,
alpine,11,
alterations,336,x
alternative,268,x
altitude,20,
altogether,12,x
alzheimer,24,
amaranth,24,amaranthus
amaranthus,10,amaranthus
amaranthus_hypochondriacus,10,amaranthus
amberlite,9,
ambient,29,
ambulatory,9,
ameliorate,12,
ameloblastic,18,
ameloblastoma,25,
amended,16,
america,157,
american,249,
americana,20,
amf,12,
amide,22,
amine,11,
amino,110,
aminobutyric,10,
aminotransferase,9,
ammonia,36,
ammonium,58,
amorphous,17,
amounts,90,x
amphibians,12,
ampicillin,12,
amplification,35,
amplified,38,
amplitude,26,
amygdala,14,
amylase,20,
amyloid,15,
amylolytic,12,
amylose,18,
anaerobic,82,
analgesic,15,
analogs,23,
analogues,18,
analyses,419,
analysis,1236,x
analytical,59,
analyzed,750,x
anastrepha,11,
anatomical,33,
anatomy,16,
ancestral,17,
ancestry,21,
anchored,11,
ancient,10,
androgen,83,
androstenedione,13,
angel,10,
angiogenesis,17,
angiotensin,18,
angiotensin_converting,12,
angle,19,
angustifolia,12,
animals,488,
anion,32,
ann,25,
annexin,10,
annual,89,x
annual_killifish,11,
anode,10,
anomalies,10,
anova,42,
anoxic,11,
answered,11,
ant,17,
antagonism,20,
antagonist,91,
anterior,40,
anthesis,10,
anthocyanins,18,
anthropogenic,39,
anthropometric,21,
anti,239,
anti_inflammatory,120,
antiandrogenic,18,
antibacterial,29,
antibiotic,62,
antibodies,104,
anticancer,17,
anticonvulsant,9,
antidepressant,29,
antidiabetic,24,
antiepileptic,9,
antifungal,19,
antigens,39,
antihyperglycemic,13,
antihypertensive,11,
antimicrobial,63,
antinociceptive,47,
antioxidant,259,
antiprotozoal,9,
antiretroviral,16,
antitumor,13,
antiviral,10,
antonio,10,
antral,10,
anxiety,35,
anxiolytic,23,
aortic,16,
apart,13,
api,14,
apical,28,
apoptosis,67,
apoptotic,31,
apparatus,13,
apparent,115,x
appeared,188,x
apple,15,
application,298,
applied,336,x
appreciable,15,
approaches,93,x
appropriate,76,
approved,11,
approximately,146,x
april,32,
aquaculture,28,
aquatic,38,
aqueous,132,
aquifer,12,
arabic,12,
arbuscular,20,
arbuscular_mycorrhizal,18,
archipelago,10,
architecture,24,
area,571,
arg,18,
argentina,15,
arginine,22,
argue,13,
arid,45,
arising,30,
arm,22,
aroma,22,
aromatic,100,
arrangement,54,
array,19,
arrest,21,
arrival,24,
arsenic,25,
art,15,
artemia,13,
artery,26,
arthritic,24,
arthritis,24,
article,105,x
article_licensebackground,22,
articular,10,
artificial,48,
artificial_insemination,16,
artisanal,10,
aryl,11,
ascertain,15,
ascorbic,26,
ascribed,12,
ash,17,
asia,25,
asian,18,
asked,15,
aspartate,30,
aspects,77,x
aspergillus,113,
aspergillus_niger,71,
asphyxia,17,
assay,339,x
assemblages,33,
assembly,26,
assessed,785,
assigned,127,x
assimilation,10,
assisted,60,x
associated,1133,x
assumed,33,
assumptions,24,
astaxanthin,11,
asteraceae,20,
astrocytes,12,
asymmetric,13,
asymmetries,15,
asymptomatic,15,
asynchronous,9,
atcc,20,
atlantic,50,
atlantic_ocean,21,
atmospheric,60,
atomic,71,
atp,34,
atpase,12,
atresia,10,
atretic,13,
attached,44,x
attack,25,
attained,80,x
attempt,62,x
attending,36,x
attention,56,x
attenuated,55,
attitudes,21,
attractive,47,
attributed,183,x
atypical,13,
auc,30,
auditory,17,
augmented,26,
august,15,x
aureus,37,
australia,9,
author_exclusive,88,x
authors,672,x
authors_licensee,155,x
auto,11,
autoimmune,10,
automated,15,
automatic,15,
autonoma,25,x
autonomic,24,
autotrophic,10,
autumn,16,
availability,97,
average,296,
avoid,94,x
awareness,10,
away,10,
axes,15,
axial,25,
axis,40,
bacillus,52,
bacillus_subtilis,16,
backbone,9,
background,393,
bacteria,218,
bacterial,153,
bacteriocin,12,
bacteriological,15,
bacterium,43,
bagasse,37,
bags,11,
bahia,10,
baja,37,
baja_california,28,
bajo,10,
balance,110,
balb,40,
banana,16,
bands,71,
bank,17,
bap,11,
bare,19,
bark,17,
barrier,54,
basal,96,x
base,94,
basel,166,
baseline,68,
basic,81,
basin,29,
basis,154,
basolateral,9,
bassiana,13,
bat,42,
batch,110,
batters,10,
bax,9,
bay,28,
bayesian,30,
bcl,18,
bcs,10,
beach,11,
beads,15,
bean,23,
bearing,35,
beauveria,13,
beauveria_bassiana,13,
bed,64,
beef,24,
beer,12,
bees,11,
beetle,9,
began,14,
beginning,69,x
behalf,25,
behaves,19,
behavior,394,
behaviour,96,
believe,13,
belonging,127,x
belt,12,
beneficial,50,
benefits,101,
benign,46,
bentham,22,
benzene,28,
benzimidazole,9,
benzo,12,
benzoate,16,
benzyl,12,
berlin,52,
berlin_heidelberg,38,
best,227,x
beta,40,
better,282,x
beverage,32,
bias,35,
biases,14,
bicarbonate,19,
bifidobacterium,15,
big,13,
bilateral,12,
bile,22,
bile_salts,12,
billion,9,
binary,13,
binding,214,
bio,20,
bioaccumulation,19,
bioactive,102,
bioassays,35,
bioavailability,26,
biocatalyst,21,
biochemical,125,
biochemistry,9,
bioconcentration,9,
bioconversion,20,
biodegradation,80,
biodiversity,52,
bioelectrical,12,
bioelectrical_impedance,9,
biofilm,41,
biofilter,20,
biofiltration,18,
biogas,15,
biogeochemical,11,
biogeographic,18,
bioinformatic,9,
biological,343,
biology,76,
biomarkers,67,
biomass,239,
biomed,16,
biomolecules,9,
biophysical,11,
biopolymers,16,
bioprocess,18,
biopsies,31,
bioreactor,76,
bioremediation,18,
biosphere,20,
biosphere_reserve,19,
biosynthesis,38,
biosynthetic,17,
biota,12,
biotechnological,68,
biotic,28,
biotransformation,24,
biphasic,13,
birds,31,
birth,91,
bis,22,
bivariate,16,
black,32,
blackwell,80,
blanca,9,
blanket,22,
blanket_uasb,13,
blends,33,
blind,24,
blockade,16,
blockage,11,
blocked,111,
blocker,20,
blood,315,
blooms,18,
blot,60,
blue,50,
blunted,9,
bmi,41,
boar,25,
body,305,
bonds,80,
bone,62,
bone_marrow,23,
boosted,10,
border,27,
born,49,
bos,10,
bos_taurus,10,
boston,10,
botanica,9,
botanical,37,
bottled,14,
bouche,9,
bound,54,
boundary,21,
bovine,61,
box,12,
boys,16,
boys_girls,9,
brachionus,13,
bracts,10,
brain,138,
bran,12,
branches,70,
brands,13,
brasileira,20,
brasiliensis,12,
brazil,45,
brazilian,15,
bread,16,
breadth,11,
breakdown,16,
breaks,33,
breast,49,
breathing,14,
breeding,71,
bridge,15,
brief,15,
bring,14,
british,26,
broad,41,
broader,11,
broilers,13,
bromeliaceae,26,
bromo,11,
broth,23,
brought,9,
brown,29,
brushing,11,
bubbles,14,
buds,13,
buffer,47,
building,35,
built,26,
bulk,22,
bull,10,
burden,72,
buried,11,
burning,18,
bursera,10,
business,251,
butyl,12,
butyrate,35,
byproducts,9,
cacl,13,
caco,10,
cactaceae,43,
cacti,34,
cactus,59,
cadherin,10,
cadmium,44,
caffeic,9,
caffeine,15,
cages,24,
cal,11,
calcification,9,
calcium,106,
calculated,221,
calf,17,
calibration,30,
california,54,
called,67,x
callus,24,
calmodulin,13,
caloric,9,
calorimetric,11,
calorimetry,41,
calves,28,
cambridge,19,
cambridge_university,19,
came,13,
camera,12,
camp,10,
campaigns,16,
campeche,20,
canada,18,
canary,12,
canary_islands,11,
cancer,184,
candida,26,
candidate,64,
candidosis,11,
cane,25,
canine,12,
canis,12,
cannabinoid,10,
cannulas,13,
canola,17,
canonical,25,
canonical_correspondence,10,
canopy,17,
cap,9,
capable,110,x
capacitation,35,
capacity,346,
capillary,17,
capita,16,
capital,12,
capsule,15,
captivity,26,
captured,63,
caput,12,
caracteristicas,9,
carbachol,10,
carbohydrates,88,
carbon,244,
carbonyl,15,
carboxylic,31,
carcass,37,
carcinogenic,21,
carcinoma,59,
cardenas,9,
cardiac,31,
cardiovascular,60,
care,109,
caribbean,45,
caries,35,
carlo,9,
carnivores,22,
carotene,11,
carotenoids,19,
carp,9,
carrageenan,22,
carried,413,x
carriers,56,
cas,9,
cascade,20,
casei,14,
casein,18,
cases,477,x
caspase,21,
cassava,10,
casting,12,
castor,9,
castrated,54,
cat,38,
catabolism,14,
catabolite,9,
catabolite_repression,9,
catalase,39,
catalyst,29,
catalytic,60,
catalyzed,44,
catches,15,
catechol,12,
categories,61,
categorized,20,
cation,32,
cattle,65,
cauda,15,
caudal,14,
caught,16,
causal,33,
caused,571,x
caution,10,
cav,13,
cavity,33,
cdc,12,
cdcl,11,
cdna,19,
cells,968,
cellular,166,
cellulases,23,
cellulolytic,9,
cellulose,31,
census,20,
censuses,11,
center,95,
central,292,
centre,14,
centrifugation,16,
centro,13,
century,19,
cephalus,15,
ceramiales,25,
ceramiales_rhodophyta,22,
cereals,18,
cerebellum,11,
cerebral,19,
cerevisiae,31,
certain,72,x
certification,10,
cervical,23,
cfu,41,
chagas,11,
chain,177,
challenge,120,
chamber,19,
chances,14,
changes,860,
channels,71,
chapter,26,
characterised,26,
characteristics,480,x
characterized,568,x
characters,61,
charcoal,12,
charge,50,
charts,13,
check,10,
checklist,9,
cheese,35,
chelating,20,
chemical,457,
chemistry,30,
chemokines,13,
chemotherapy,25,
chi,33,
chiapas,35,
chicken,24,
chihuahua,9,
chihuahuan,24,
chihuahuan_desert,23,
child,41,
childhood,23,
children,143,
chile,15,
china,17,
chinese,12,
chiroptera,22,
chirostoma,15,
chirostoma_humboldtianum,10,
chitin,23,
chitinases,11,
chitosan,27,
chloramphenicol,10,
chlorella,10,
chloride,39,
chlorine,17,
chloro,13,
chloroform,45,
chlorogenic,19,
chlorophenol,12,
chlorophyll,25,
chloroplast,21,
chloroplast_encoded,14,
choice,35,
cholesterol,75,
choline,14,
cholinergic,17,
choose,12,
chosen,28,
chow,9,
chromatid,10,
chromatin,17,
chromatographic,25,
chromatography,135,
chromium,24,
chromosome,45,
chronic,200,
chrysogenum,18,
ciencias,26,
ciliate,11,
cip,10,
circadian,10,
circuit,9,
circular,59,
circular_dichroism,37,
circulating,45,
circumference,18,
circumstances,9,
cis,17,
cisplatin,11,
citrate,12,
citric,13,
citrus,17,
city,263,
ciudad,13,
cla,9,
clade,33,
cladodes,12,
claimed,14,
clarify,33,
class,77,x
classical,36,
classification,86,
classified,132,x
clays,15,
clean,32,
clear,118,
clearly,61,x
climate,80,
clinica,11,
clinical,348,
clinicians,10,
clinico,12,
clinico_pathological,10,
clinicopathological,16,
clomipramine,9,
clonal,15,
cloned,42,
close,187,x
closer,21,
closest,12,
clostridium,10,
cloud,21,
cluster,101,
cns,13,
coa,12,
coagulation,9,
coalescence,13,
coarse,10,
coast,78,
coastal,73,
coatings,33,
coatis,9,
cod,36,
coding,61,
coefficient,112,
coexistence,24,
coffee,27,
coffee_pulp,14,
cognitive,48,
coherence,9,
cohesiveness,24,
cohort,69,
coi,17,
coil,12,
coincide,26,
cold,45,
colegio,12,
coli,97,
coliforms,12,
collaborative,25,
collagen,24,
collapse,11,
collected,416,
college,22,
colloidal,10,
colocalization,9,
colombia,15,
colonies,54,
colonization,68,
color,112,
colorectal,10,
colour,32,
column,78,x
columnar,23,
columnar_cacti,11,
com,13,
combined,280,
combustion,15,
comet,18,
coming,38,
commercial,220,
common,275,
commonly,82,
communicable,20,
community,287,
como,13,
comorbidity,40,
compact,36,
company,16,
compared,1231,x
comparison,282,
compartment,22,
compatible,13,
compensated,20,
compensatory,14,
competing,29,
competition,64,
competitors,10,
compilation,23,
complementary,18,
complemented,28,
complete,308,x
complex,349,
compliance,10,
complications,55,
comply,12,
components,314,x
composed,49,
composition,320,x
compost,15,
compounds,585,
comprehensive,61,x
compression,16,
comprised,75,
compromise,26,
computational,65,
concentration,1131,
concept,55,
conceptual,14,
concerning,111,x
concluded,203,x
conclusions,914,x
concolor,11,
concomitant,30,
concomitantly,12,
concordance,12,
concurrent,16,
condensed,29,
conditions,912,x
conducted,368,x
conferring,31,
confidence,71,
confidence_interval,48,
configuration,32,
confinement,19,
confirmed,275,
conflict,17,
confocal,33,
conformation,58,
confounding,11,
confused,11,
congenital,18,
conidia,40,
conidial,23,
conjugated,27,
conjunction,15,
connectivity,78,
consecutive,77,x
consensus,18,
consequences,177,
conservation,189,
considerable,142,
considered,539,x
consistent,303,
consolidation,20,
consortium,55,
conspicuous,10,
constant,168,
constituents,30,
constitute,114,x
constrained,10,
constraints,15,
constructed,110,
consultation,11,
consumed,175,
consumption,265,
contact,83,
containing,424,x
contaminated,130,
contemporary,13,
content,517,x
context,100,
continent,17,
continental,10,
continuous,228,
contraceptive,16,
contractility,13,
contraction,45,
contrary,31,
contrast,274,
contribute,358,
contributors,16,
control,1057,
controversial,38,
convective,12,
convenience,16,
conventional,93,
convergence,16,
conversion,144,
converted,42,
cooking,51,
cooling,13,
cooperation,24,
coordination,37,
cope,24,
copies,17,
copper,49,
copulate,14,
copulatory,24,
coral,39,
cord,45,
core,45,
corn,83,
coronary,14,
coronavirus,14,
corporal,18,
corpus,18,
correct,64,x
correctly,22,
correlation,464,
corresponding,210,x
corroborated,52,
corrosion,13,
cortex,44,
cortical,64,
corticosterone,29,
cortisol,19,
cosmetic,15,
cost,108,
costa,28,
costa_rica,18,
counseling,10,
counteract,21,
counterparts,29,
countries,253,
counts,110,
county,9,
coupled,109,
course,52,
cov,20,
covalent,21,
covariates,23,
cover,93,
coverage,35,
covid,33,
cows,76,
cox,29,
crayfish,9,
created,58,
creatine,10,
creatinine,9,
creative,16,
creative_commons,13,
cresol,21,
crisis,10,
criteria,123,
criterion,32,
critical,124,
crop,59,
cross,216,
cross_sectional,98,
crosslinking,9,
crossover,17,
crucial,73,x
crude,65,
crustacean,12,
cruz,12,
cruzi,20,
cryopreserved,12,
cryptic,9,
crystal,51,
crystallinity,47,
csiro,16,
cuba,9,
cubic,9,
cucurbita,13,
cucurbita_ficifolia,12,
cues,11,
cuicatlan,23,
cultivars,9,
cultivated,94,
culture,579,
cumulative,21,
cumulus,11,
curcumin,10,
cure,13,
curema,27,
currently,117,
curve,114,
cut,50,
cutaneous,13,
cuticle,9,
cyanobacteria,20,
cyclase,11,
cycle,234,
cyclic,36,
cyclic_voltammetry,9,
cyclooxygenase,12,
cylindrical,11,
cyp,20,
cys,12,
cysteine,26,
cystic,12,
cysts,9,
cytochrome,33,
cytokeratin,13,
cytokines,111,
cytometry,58,
cytoplasmic,37,
cytoskeletal,11,
cytoskeleton,18,
cytosol,42,
cytotoxic,74,
daily,212,
dairy,95,
dalys,13,
dam,36,
damage,273,
dangerous,9,
dark,46,
data,882,
database,65,
dataset,16,
date,77,x
datura,11,
datura_stramonium,10,
days,773,
ddt,12,
deactivation,12,
dead,18,
deal,35,
death,173,
debate,11,
decades,60,
decay,30,
december,25,
decided,9,
deciduous,16,
decision,40,
decision_making,20,
declaration,9,
decline,88,
decomposition,15,
decondensation,13,
decreased,1066,x
decrement,22,
deep,27,
deeper,13,
deer,13,
defects,32,
defence,9,
defense,42,
deficiency,60,
deficit,34,
defined,191,x
definition,29,
deformed,12,
degeneration,14,
degenerative,12,
degradation,234,
degree,134,
dehydration,28,
dehydroepiandrosterone,15,
dehydrogenase,39,
del,92,
delay,70,
deleterious,21,
deletion,26,
delimitation,17,
delivered,22,
delivery,32,
delta,9,
demand,75,
dementia,9,
demographic,115,
demography,11,
demonstrated,462,x
denaturation,47,
denitrification,28,
denitrifying,31,
dense,25,
density,235,
dental,73,
dentate,10,
dentists,14,
dentition,11,
deoxy,10,
department,36,
dependent,522,x
depicted,15,
depletion,35,
deposition,57,
depression,92,
deprivation,23,
depth,57,
deregulation,16,
derivatives,337,
descendants,11,
described,412,
description,116,
descriptors,20,
desert,42,
design,393,
desirable,41,
desorption,12,
despite,133,x
destabilization,10,
destroy,10,
destruction,27,
detailed,81,x
detected,519,x
detector,15,
detergent,40,
detergent_fiber,12,
deterioration,45,
determined,1273,x
detoxification,9,
detrimental,30,
devastating,9,
development,901,
developmental,26,
deviation,36,
device,36,
dft,12,
dgge,10,
dha,10,
dht,34,
diabetes,138,
diabetes_mellitus,49,
diagnosed,61,
diagnosis,120,
diagnostic,87,
dialysis,10,
diameter,111,
diarrhea,18,
diarrhoea,9,
diarrhoeal,11,
diastolic,10,
diatoms,17,
diaz,16,
dichloromethane,17,
dichlorophenoxyacetic,10,
dichroism,37,
died,30,
diel,18,
diene,18,
diet,190,
dieta,9,
dietary,85,
differences,66,x
different,1982,x
differential,297,
difficult,57,
difficulty,19,
diffraction,45,
diffusion,75,
digestibility,170,
digital,17,
dihydro,14,
dihydrotestosterone,45,
diluted,36,
dimensional,39,
dimensions,35,
dimer,39,
dimethyl,20,
diminished,133,
diminution,20,
dinoflagellates,18,
dione,23,
dioxide,36,
diphenyl,14,
diphenyl_picrylhydrazyl,9,
dipped,10,
diptera,11,
direct,179,
directly,110,
disability,39,
disadvantages,11,
disappearance,33,
disc,9,
discarded,12,
discharge,33,
disclosed,16,
discontinuous,13,
discovered,21,
discovery,36,
discrete,16,
discriminant,85,
discussed,150,x
disease,505,
dishes,10,
disinfection,11,
dismutase,50,
disorders,196,
disparities,12,
dispersal,130,
displacement,31,
displayed,190,
disposal,10,
disruption,84,
disruptor,14,
dissected,28,
dissemination,13,
dissimilar,14,
dissociation,21,
dissolution,24,
dissolved,48,
distal,20,
distance,74,
distilled,19,
distinct,112,x
distinguished,64,x
distortion,11,
distress,9,
distribution,500,x
district,23,
disturbance,62,
disulfide,20,
diuretic,12,
diurnal,18,
divergence,50,
diversification,10,
diversified,9,
diversity,312,
divided,128,
division,18,
dmfs,14,
dmft,13,
dmi,9,
dna,245,
docking,58,
documented,91,
dodecyl,10,
dogs,34,
domain,69,
domestic,58,
dominant,128,
donation,11,
donor,45,
dopamine,29,
dopaminergic,25,
doped,16,
dordrecht,41,
dorsal,28,
dos,14,
dosage,28,
dose,366,
double,79,
dough,17,
downregulation,30,
downstream,9,
dpph,25,
dpph_abts,9,
dramatically,20,
drastically,32,
drawn,13,
draws,21,
dried,61,
drift,11,
drinkers,16,
drinking,81,
driven,47,
drivers,25,
driving,34,
drop,39,
droplet,22,
drought,18,
drug,310,
dry,346,
dsc,14,
dsm,39,
dual,47,
duct,11,
duplication,11,
durango,10,
durante,10,
duration,86,
dwelling,14,
dye,21,
dynamics,212,
dysfunction,50,
dyslipidemia,12,
dysregulation,11,
ear,41,
ear_edema,21,
earlier,37,
early,236,
earth,9,
easily,42,
east,24,
eastern,61,
easy,29,
eating,33,
ecg,12,
eco,10,
ecological,163,
economic,158,
economy,15,
ecosystem,115,
ecotoxicological,10,
ecs,10,
ecuador,11,
edema,41,
edge,21,
edible,38,
edition,9,
eds,16,
edta,12,
education,75,
educational_attainment,10,
eeg,23,
efecto,21,
effect,2118,x
effector,11,
effects,66,x
efficacy,71,
efficiency,366,
effluent,43,
efforts,98,x
eggs,59,
eighteen,15,
eighty,17,
eis,9,
ejaculation,50,
ejaculatory,10,
elaborated,19,
elasticity,24,
elderly,27,
electrical,57,
electrochemical,32,
electrode,36,
electroencephalographic,11,
electrolyte,21,
electron,208,
electron_microscopy,39,
electrophilic,10,
electrophoresis,50,
electrophoretic,20,
electrophysiological,12,
electrostatic,26,
elemental_sulfur,18,
elementary,14,
elements,131,
elevated,91,
elicited,56,
elimination,94,
elisa,49,
ellagic,14,
ellagitannins,10,
ellipsoid,9,
elongation,24,
elsevier_science ,1,x
elsevier,1058,x
elucidate,80,
emax,9,
embedded,13,
embryonic,19,
embryos,53,
emergency,126,
emergency_department,19,
emissions,66,
emitted,16,
emotional,30,
emphasis,17,
emphasized,28,
empirical,38,
employed,146,x
employer,10,
emulsifying,23,
emulsions,42,
enabled,57,
enantiomeric,10,
enantioselectivity,11,
encapsulated,42,
encoding,88,
encompasses,17,
encountered,20,
encourage,23,
end,180,x
endangered,33,
endemic,108,
endo,9,
endocannabinoid,10,
endocrine,42,
endocrine_disruptor,13,
endocrinology,10,
endogenous,47,
endometrial,11,
endometrium,13,
endophytic,10,
endoplasmic,9,
endoplasmic_reticulum,9,
endothelial,32,
endothermic,9,
ene,12,
energetic,34,
energy,265,
engaging,9,
engineering,67,
enhanced,284,
enlarged,11,
enriched,95,
enrolled,11,
ensemble,16,
ensiling,11,
ensure,44,
entamoeba,23,
entamoeba_histolytica,22,
enteric,31,
enterococcus,11,
enterprises,10,
enthalpy,41,
entire,48,
entity,31,
entomological,15,
entomopathogenic,17,
entrapped,17,
entre,14,
entropy,23,
entry,17,
environment,258,
environmental,321,
enzymatic,137,
enzyme,457,
eosin,14,
epa,18,
epidemic,11,
epidemiological,66,
epidermal,10,
epidermis,10,
epididymal,23,
epididymis,17,
epigenetic,16,
epilepsy,21,
epileptic,9,
epiphytic,17,
episodes,26,
epithelial,92,
epithelium,49,
eps,9,
equal,65,x
equation,92,
equatorial,10,
equilibrium,39,
equipment,24,
equivalent,62,
eradication,9,
erk,22,
erosion,19,
error,49,
erythematosus,14,
erythrocytes,23,
escherichia,82,
escherichia_coli,80,
especially,155,x
espejo,9,
essential,157,
established,362,x
estado,11,
este,13,
ester,84,
esterase,16,
esterification,11,
esterified,11,
estimated,490,x
estradiol,71,
estrogen,58,
estrous,19,
estrus,24,
estuarine,18,
estuary,21,
estudio,12,
ethanol,83,
ether,21,
ethnic,31,
ethnopharmacological,20,
ethnopharmacological_relevance,15,
ethyl,58,
ethylene,20,
etiology,38,
eukaryotic,10,
europe,21,
european,50,
eutrophic,13,
evaluacion,11,
evaluated,1623,x
evans,9,
evaporation,11,
evenness,12,
events,137,
eventually,29,
evidence,386,
evidenced,56,
evoked,28,
evolution,97,
evolutionary,40,
evolved,38,
ewes,20,
