words,count,action
exacerbated,15,
exact,15,
examined,354,
example,62,x
exceed,19,
exceeded,27,
excellent,50,
exception,45,
excess,70,
exchange,88,x
excipient,12,
excision,14,
excitation,22,
excitotoxic,17,
excluding,19,
exclusive,141,
excretion,19,
exercise,34,
exerted,111,
exhaust,27,
exhibited,363,x
existence,210,
exogenous,52,
exons,13,
exopolysaccharide,12,
expanded,52,
expansion,56,
expected,145,x
expenditure,15,
expensive,29,
experienced,60,
experimental,405,
experiments,435,
expert,18,
explain,225,x
explanation,19,
explants,19,
explicit,14,
explicitly,13,
exploitation,25,
exploratory,23,
explored,261,
exponent,12,
exponential,25,
export,14,
exposed,227,
exposure,237,
expression,585,x
expulsion,10,
extended,78,
extensive,108,
extent,109,
external,55,
extinction,22,
extra,23,
extracellular,75,
extract,462,x
extreme,62,
exudates,12,
eye,42,
eye_movement,19,
fabaceae,13,
face,85,
facial,12,
facilitate,94,
facilities,18,
fact,77,
factorial,51,
factorial_arrangement,20,
factors,761,
faecal,11,
faeces,14,
failed,38,
failure,42,
fall,29,
false,14,
family,216,
far,66,
farmers,20,
farms,93,
farrowing,16,
fashion,13,
fast,83,x
faster,51,
fat,129,
fatal,24,
fate,15,
fattening,15,
fatty,126,
fatty_acids,74,
fauna,22,
favorable,131,x
favoured,36,
feasibility,65,
features,187,
february,41,
fecal,28,
feces,18,
fecundity,17,
fed,186,
federal,26,
feed,216,
feedback,12,
feeder,13,
feedlot,16,
fejerskov,9,
felids,13,
fell,12,
female,345,
fermentation,295,
fern,26,
fertility,150,
ferulic,14,
fetal,50,
fever,10,
fewer,35,
fiber,84,
fibre,27,
fibrillation,9,
fibroblasts,29,
fibrolytic,10,
fibroma,12,
fibrosis,12,
fibrous,16,
ficifolia,12,
ficus,22,
field,199,
fifth,18,
fight,10,
figure,44,
figure_fulltext,23,
filamentous,55,
files,9,
filled,27,
films,29,
filter,42,
filtration,26,
fin,10,
finally,331,x
financial,10,
finasteride,28,
findings,442,x
fine,44,
fingerprinting,11,
finishing,33,
firmicutes,13,
firmness,23,
firstly,9,
fish,160,
fisher,15,
fisheries,36,
fitc,10,
fitted,109,
fixed,52,
flame,9,
flank,23,
flank_organs,16,
flasks,23,
flavonoids,50,
flavor,23,
flavour,11,
flexibility,19,
floating,9,
flood,13,
flora,23,
floral,38,
flores,11,
floristic,20,
flour,39,
flow,203,
flow_cytometry,56,
flowers,75,
fluctuations,40,
fluid,67,
fluidized,11,
fluidized_bed,10,
fluorescence,87,
fluoride,26,
fluorometric,11,
fluorosis,16,
flux,33,
fly,18,
fly_anastrepha,9,
foam,35,
focal,20,
focus,53,
focused,113,x
fodder,10,
fold,141,
foliage,11,
folk,13,
follicles,49,
follicular,35,
followed,615,x
food,328,
forage,58,
forced,85,
forced_swimming,26,
forest,125,
form,430,
formal,16,
formaldehyde,9,
formalin,22,
formation,271,
formula,17,
formulations,99,
forward,11,
foster,15,
foundation,44,
fourier,31,
fourier_transform,21,
fourteen,19,
fourth,33,
fractal,13,
fraction,255,
fracture,16,
fragments,105,
frame,18,
framework,53,
france,12,
francis,157,x
free,274,
freely,14,
freeze,26,
french,10,
frequency,260,
frequent,189,
fresh,93,
freshwater,30,
frey,10,
friendly,18,
frontal,23,
frozen,15,
fructose,21,
fruit,150,
fsh,20,
fst,25,
ftir,40,
fuel,26,
fuentes,12,
fulfill,10,
fulltext,29,
fully,69,x
functional,675,
fundamental,45,
funding,34,
funding_melinda,25,
fungal,106,fungi
fungi,106,fungi
fungicidal,10,
fungus,74,fungi
fur,15,
furthermore,209,x
fusarium,28,
fused,14,
fusion,15,
future,132,
gaba,16,
gabaergic,10,
gae,10,
gain,168,
galactose,13,
galactosidase,11,
gallic,24,
gamete,17,
gametophytes,12,
gamma,32,
gap,52,
garcia,20,
garden,19,
gas,138,
gaseous,21,
gases,16,
gasoline,13,
gastric,33,
gastrointestinal,44,
gates,34,
gates_foundation,25,
gathered,33,
gaussian,21,
gavage,15,
gave,43,
gbd,39,
gel,111,
gel_electrophoresis,37,
gelatinized,49,
gelation,9,
gen,10,
genbank,22,
gender,83,
gene,449,
genera,80,
general,621,x
genetic,296,
genital,15,
genome,96,
genotoxic,21,
genotype,120,
genus,187,
geographic,135,
geography,17,
geometric,29,
geometry,20,
georg,10,
georg_thieme,9,
geostatistical,12,
germ,31,
germany,84,x
germination,103,
gesellschaft,16,
gestation,45,
ghost,9,
giant,18,
giardia,11,
gill,12,
gingival,11,
girls,19,
given,160,x
gives,43,
gland,62,
glass,29,
glial,10,
glibenclamide,15,
global,170,
globulin,10,
glu,17,
glucocorticoid,14,
glucose,270,
glucosidase,18,
glucoside,13,
glut,18,
glutamate,31,
glutamatergic,10,
glutathione,90,
gluten,11,
glycemia,14,
glycerol,36,
glycine,15,
glycol,22,
glycolysis,10,
glycolytic,10,
glycoprotein,19,
glycosides,11,
gmbh,159,
gmbh_germany,78,x
gmbh_kgaa,46,
goal,64,
goats,43,
gold,16,
golden,13,
gomez,9,
gonadal,20,
gonadectomized,28,
gonadotrophin,10,
gonadotropin,12,
gonzalez,29,
good,219,
gout,11,
government,57,
gpx,23,
grade,59,
gradient,68,
gradually,39,
grafted,9,
grain,68,
gram,65,
granular,23,
granules,46,
granulomas,11,
granulosa,18,
graphic_abstract,9,
graphical,26,
grass,29,
grassland,12,
gravimetric,9,
gray,20,
grazing,31,
great,117,
greater,340,x
greatest,81,
greatly,25,
green,66,
greenhouse,32,
grew,28,
gross,22,
ground,33,
groundwater,18,
group,1122,
growing,180,
grown,109,
growth,639,
gruyter,21,
gsh,49,
gsh_gssg,15,
gsp,11,
gsp_india,11,
gssg,17,
gst,12,
gtpase,10,
guarantee,17,
guatemala,17,
guerrero,24,
guide,53,
guidelines,28,
guilds,9,
guinea,27,
guinea_pig,17,
gulf,112,
gum,32,
gut,25,
habitat,116,
habits,43,
habituation,11,
hair,16,
half,103,x
hallmarks,10,
hamsters,48,
hand,139,
handling,42,
haplotype,29,
happened,10,
harbors,19,
hardness,72,x
harmful,39,
harvest,76,
harzianum,9,
hatching,25,
hay,21,
hazard,27,
hch,10,
hcl,19,
hco,14,
hct,12,
hdl,14,
head,49,
head_neck,11,
headache,11,
headspace,10,
healing,23,
health,466,
healthcare,40,
healthy,205,
heart,67,
heartbeat,9,
heat,118,
heavier,9,
heavily,13,
heavy,65,
hechtia,10,
heidelberg,39,
height,58,
hela,12,
helical,15,
helix,18,
helminth,9,
help,161,x
hematocrit,11,
hematoxylin,10,
hematoxylin_eosin,9,
hemicellulose,10,
hemisphere,10,
hemodynamic,13,
hemoglobin,28,
hemolytic,9,
hens,9,
heparin,15,
hepatic,61,
hepatocellular,10,
hepatocellular_carcinoma,9,
hepatocytes,34,
hepg,15,
herb,13,
herbal,22,
herbarium,13,
herbicides,14,
herbivores,24,
herbivory,9,
herd,21,
heritability,14,
hernandez,30,
heterogeneous,93,
heterologous,10,
heterotrophic,11,
heterozygous,16,
hexadecane,11,
hexane,51,
hgf,11,
hidalgo,25,
hidden,9,
hierarchical,21,
higher,1115,x
highest,479,
highlands,28,
highlight,112,x
highly,246,x
hill,12,
hindered,19,
hippocampal,20,
hippocampus,39,
hispanic,17,
histamine,13,
histidine,11,
histochemical,9,
histological,102,
histolytica,23,
histopathological,59,
historical,52,
history,85,
hiv,56,
hoc,13,
holding,37,
hole,14,
holstein,42,
home,37,
homeostasis,45,
homogeneous,73,
homology,40,
homozygous,13,
horizontal,15,
hormetic,10,
hormone,130,
horses,18,
hospital,59,
host,93,
hot,40,
hours,127,
housed,49,
household,42,
hpa,9,
hplc,64,
hpv,17,
hrt,13,
hrv,10,
hsd,9,
hsp,12,
http,14,
human,502,
humana,9,
humboldtianum,12,
humidity,45,
humoral,9,
hybrid,85,
hydration,28,
hydraulic,24,
hydroalcoholic,9,
hydrocarbons,66,
hydrochloride,12,
hydrodynamic,29,
hydrogen,84,
hydrogen_peroxide,21,
hydrolase,15,
hydrological,10,
hydrolysates,31,
hydrolysis,87,
hydrolytic,17,
hydrolyzed,31,
hydrophilic,24,
hydrophobic,68,
hydrothermal,9,
hydroxy,50,
hydroxybutyrate,11,
hydroxyl,22,
hydroxylase,9,
hygiene,23,
hyperalgesia,11,
hyperglycemia,20,
hyperplasia,15,
hypertension,30,
hyphae,11,
hyphal,9,
hypochondriacus,11,
hypoglycemic,39,
hypothalamic,26,
hypothalamus,33,
hypothesis,106,
hypothesized,44,
hypoxia,19,
hypoxic,13,
μmol,29,
icr,14,
idea,34,
ideal,20,
ideation,17,
identification,203,
identified,741,x
identity,95,
ifn,33,
iga,19,
igf,13,
igg,14,
iii,123,x
ileum,17,
illness,37,
illustrated,83,x
images,90,
imbalance,25,
immature,22,
immediately,65,x
immersion,28,
immigrants,9,
immobility,17,
immobilization,49,
immune,114,
immunoassay,13,
immunodeficiency,13,
immunoexpression,17,
immunofluorescence,28,
immunoglobulin,17,
immunohistochemical,60,
immunohistochemistry,52,
immunological,32,
immunomodulatory,10,
immunoreactive,16,
immunosorbent,20,
immunosuppression,11,
impacts,63,
impairment,146,
impedance,32,
implantation,33,
implementation,118,
implications,129,
implies,44,
important,857,x
importantly,13,
imposed,19,
impregnated,20,
improved,638,x
imss,20,
inactivation,46,
inactive,21,
inadequate,11,
inbreeding,10,
incidence,93,
including,825,x
inclusion,74,
income,86,x
incomplete,22,
inconsistent,12,
incorporation,134,
increased,1445,x
increasingly,31,
increment,70,
incubation,173,
ind,26,
independent,217,
index,331,
india,35,
indian,11,
indica,29,
indicate,1085,x
indigenous,28,
indirect,38,
indirectly,15,
individuals,419,
indole,15,
indomethacin,22,
indoor,10,
induced,839,x
induction,119,
industrial,265,
industrybackground,23,
ineffective,20,
inequalities,22,
inert,32,
inexpensive,15,
infants,22,
infarction,9,
infection,268,
infectious,45,
inferred,57,
infertility,17,
infested,23,
infiltration,28,
inflammation,116,
inflammatory,251,
inflorescences,15,
influence,420,
informa,101,
information,385,
infrared,46,
infrastructure,15,
infrequent,14,
infusions,23,
ingestion,18,
ingredients,49,
inhabitants,44,
inhalants,9,
inherent,10,
inherited,13,
inhibition,475,
inhibitors,208,
inhibitory,165,
initial,336,x
injection,142,
injured,26,
injury,154,
inlet,22,
innate,21,
inner,20,
innovative,35,
inocula,14,
inoculated,102,
inoculum,45,
inorganic,37,
inositol,12,
inputs,48,
insect,50,
insecticidal,26,
insectivorous,9,
insemination,26,
insensitive,13,
inserted,28,
inside,51,
insights,90,x
insoluble,15,
inspected,9,
installation,10,
instance,20,
instantaneous,9,
instead,46,
institute,153,x
instituto,28,
instituto_nacional,17,
instruments,58,
insufficient,24,
insular,14,
insulin,80,
insult,15,
insurance,11,
intact,45,
intake,125,
integrity,157,
intended,20,
intensity,155,
intention,17,
inter,31,
interaction,420,
intercellular,12,
interception,13,
interconnected,9,
interesting,65,x
interestingly,72,x
interface,28,
interfacial,11,
interference,45,
interfering,15,
interferon,31,
interleukin,61,
intermediate,116,
intermittent,21,
international,233,
interpersonal,12,
interpretation,100,
interquartile,10,
interspecific,14,
interstitial,13,
intertidal,10,
interval,178,
intervention,93,
interviews,69,
intestinal,88,
intestinalis,9,
intoxication,18,
intra,51,
intra_partum,10,
intracellular,97,
intragastric,11,
intrapartum,12,
intraperitoneal,41,
intraspecific,9,
intravaginal,9,
intravenous,12,
intrinsic,47,
introduced,51,
introduction,86,x
intromission,27,
inulin,15,
invade,14,
invasive,79,
inventory,16,
inverse,61,x
investigated,501,x
investment,22,
invited,11,
involved,520,x
ion,90,
ionic,32,
ionization,21,
ios,9,
iqr,9,
ireland,57,
iron,28,
irradiation,33,
irregular,18,
irrespective,13,
irreversible,31,
irrigation,12,
ischemia,19,
ischemic,15,
isla,13,
islands,51,
isoelectric,16,
isoenzymes,9,
isoforms,33,
isolated,479,
isomerase,27,
isomers,25,
isothermal_titration,9,
isotherms,28,
issues,62,x
isthmus,10,
italy,9,
items,29,
ivdmd,10,
ivf,14,
jaguar,17,
jaguar_panthera,11,
jalisco,20,
january,43,
japan,33,
japanese,26,
jimenez,10,
john,118,x
john_wiley,116,x
joint,24,
jose,9,
journal,89,x
journal_compilation,9,
juarez,11,
judged,23,
juice,24,
july,32,
junction,20,
june,35,
justify,11,
juvenile,43,
kappa,10,
karger,23,
kcal,20,
kcl,16,
kda,81,
keeping,16,
kept,33,
ketones,9,
kgaa,46,
kidney,43,
killed,25,
killifish,12,
kinase,57,
kind,55,
kinetic,240,
kinetin,13,
king,13,
kit,16,
kluwer,39,
kluwer_academic,18,
kluyveromyces,13,
knee,9,
know,44,
knowledge,199,
known,357,
korean,13,
kruskal,12,
kruskal_wallis,11,
kunth,16,
lab,33,
labeled,76,
labor,19,
laboratory,109,
laccase,32,
lack,163,
lactalbumin,9,
lactation,120,
lactic,90,
lactis,19,
lactobacilli,11,
lactobacillus,65,
lactobacillus_plantarum,18,
lactococcus,12,
lactococcus_lactis,9,
lactone,10,
lactose,29,
lag,46,
lagoon,74,
laguna,15,
lake,35,
lambs,65,
lamina,15,
lamina_propria,14,
land,54,
landmarks,12,
landrace,21,
landscape,46,
langmuir,10,
language,15,
largely,50,
larger,136,x
largest,74,x
larvae,74,
larval,33,
las,35,
laser,19,
lasted,45,
late,67,x
latency,50,
later,131,x
latex,10,
latin,101,
latin_america,55,
latitude,9,
lattice,9,
laurencia,24,
law,17,
layer,83,
laying,9,
ldl,10,
lead,285,x
leaf,57,
lean,12,
learning,40,
leaves,121,x
lecanicillium,9,
lecanii,10,
lectin,19,
led,94,
left,51,
leg,11,
legal,17,
legislation,10,
legumes,12,
leguminosae,19,
length,158,
leon,11,
lepidoptera,19,
lepidoptera_noctuidae,11,
leptin,20,
lerma,11,
lesions,142,
lesser,47,
lethal,42,
leu,9,
leucine,11,
leukemia,10,
leukocyte,19,
leukoplakia,10,
levels,1184,
libitum,18,
library,32,
licence,88,x
license,20,
licensebackground,22,
licensee,174,
liebert,24,
lies,11,
life,240,
lifespan,14,
lifestyle,15,
lifetime,27,
ligand,67,x
ligation,15,
light,157,
lignin,18,
lignocellulosic,15,
like,443,x
likelihood,27,
likewise,52,
limb,18,
lime,15,
limited,423,
limited_trading,43,
line,181,
lineage,38,
linear,173,
linearly,29,
linkage,13,
linked,200,x
linked_immunosorbent,20,
linoleic,20,
lip,10,
lipase,33,
lipid,204,
lipid_peroxidation,79,
lipoperoxidation,11,
lipophilic,16,
lipopolysaccharide,19,
lipoprotein,20,
lippincott,11,
lippincott_williams,10,
liquid,158,
liss,28,
list,43,
listeria,19,
listeria_monocytogenes,11,
liter,9,
literature,103,
litopenaeus,24,
litopenaeus_vannamei,11,
litter,27,
little,129,
lived_disability,15,
liver,124,
livestock,31,
living,196,
llc,160,
load,118,x
lobes,17,
local,285,
located,253,
loci,31,
locomotion,11,
locomotor,15,
locus,12,
log,41,
logarithmic,10,
logistic,86,
logistic_regression,65,
long,259,
long_term,113,
longer,93,
longevity,18,
longissimus,11,
longitudinal,43,
looking,27,
loop,27,
loose,15,
lopez,27,
lordosis,13,
los,43,
lose,26,
loss,262,
lost,66,
lotor,9,
lovastatin,9,
low,800,x
lower,634,x
lowest,145,x
lps,30,
ltdthe,38,
ludens,9,
luis,12,
luisana,14,
lumen,11,
lung,66,
lupus,19,
lupus_erythematosus,14,
luteinizing,12,
lymph,11,
lymphocytes,64,
lymphoma,12,
lys,16,
lysine,18,
lysosomal,9,
lysozyme,10,
maceration,10,
macro,19,
macrobrachium,10,
macrophages,39,
macroscopic,12,
madre,23,
magnesium,18,
magnetic,49,
magnetic_resonance,37,
magnitude,60,
magnolia,38,
magnolia_press,29,
main,390,
mainly,288,x
maintained,186,
maintenance,70,
maize,91,
major,292,x
makers,9,
making,117,
malaria,16,
malathion,9,
maldi,9,
male,424,
malformations,10,
malignant,48,
malnourished,41,
malnutrition,63,
malondialdehyde,24,
mammalian,29,
mammals,57,
mammary,18,
mammary_gland,9,
mammillaria,10,
man,11,
management,201,
mandible,24,
manganese,16,
mango,18,
mangrove,15,
manifestations,51,
manipulation,32,
mann,13,
mann_whitney,13,
manner,81,x
manova,9,
manual,23,
manufacture,47,
manure,11,
manuscript,9,
map,90,
mapk,10,
march,43,
margins,54,
marias,9,
marine,87,
marked,59,
markedly,41,
markers,219,
market,61,
marrow,23,
martinez,23,
mary,26,
mary_ann,24,
mas,10,
masa,14,
masculine,27,
mass,257,
massive,22,
masson,28,
masson_sas,18,
matched,56,
material,341,
maternal,61,
mathematical,48,
mating,38,
matrices,26,
matrix,109,
matter,197,
maturation,133,
max,15,
maxent,9,
maxilla,12,
maxima,17,
maximal,79,x
maximum,334,
maya,14,
mays,21,
maze,21,
mcf,22,
mda,33,
mdpi,160,x
mdpi_basel,149,x
meal,23,
mean,461,x
measured,733,x
meat,93,
mechanisms,565,
mechanistic,14,
meconium,9,
media,388,
medial,24,
median,74,
mediated,223,
medica,13,
medical,107,
medicina,29,
medicine,175,
mediterranean,17,
medium,311,
medwell,21,
medwell_journals,21,
meet,42,
melanoma,16,
melatonin,22,
melinda,26,
mellitus,50,
members,107,
membrane,161,
memory,44,
men,87,
mendoza,11,
mental,62,
mentioned,36,
meoh,9,
mercury,16,
mesenchymal,17,
mesoamerican,10,
mesophilic,13,
mesoporous,10,
mesquite,26,
mesquite_gum,16,
messenger,10,
mestizo,31,
met,50,
meta,33,
metabolic,344,
metabolites,180,
metagenomic,19,
metal,129,
metalloproteinases,18,
metallothionein,16,
metaphase,11,
metarhizium,14,
metastases,14,
metastasis,13,
metastatic,9,
meteorological,12,
metformin,10,
methane,52,
methanogenesis,13,
methanogenic,23,
methanol,74,
methicillin,11,
methionine,28,
methodology,134,
methods,859,
methyl,115,
metrics,19,
metronidazole,11,
metropolitan,35,x
Mexican,669,x
mexicana,43,x
mexicanos,22,x
mexicanus,16,x
Mexico,1255,x
mic,14,
mice,233,
michoacan,15,
micro,34,
microaerobic,11,
microalgae,18,
microarray,13,
microbes,10,
microbial,144,
microbiology,66,
microbiota,21,
microcapsules,18,
microcosm,17,
microencapsulated,20,
microenvironment,22,
micrographs,27,
micronuclei,11,
micronucleus,9,
micronutrient,13,
microorganisms,111,
micrornas,11,
microsatellite,27,
microscopic,80,
microscopy,158,
microstructure,33,
microtubule,9,
microwave,16,
mid,15,
middle,69,x
migration,79,
mild,58,
milk,132,
millerichthys,13,
millerichthys_robustus,13,
million,62,x
mimic,14,
mimicking,16,
mimosa,28,
mimosoideae,10,
min,270,
minced,10,
mineral,107,
mini,15,
minimal,76,x
minimum,52,
mining,22,
minor,53,
minutes,42,
mir,16,
mirnas,11,
missing,23,
mitigation,26,
mitochondria,27,
mitochondrial,93,
mitosis,11,
mitotic,11,
mixed,204,
mixture,170,
mmhg,11,
mmol,33,
mmp,16,
mobility,60,
modalities,18,
mode,70,
model,986,
modelo,12,
moderate,157,
modern,19,
modest,9,
modification,104,
modified,280,
modulation,155,
modulatory,16,
moduli,12,
moiety,38,
moisture,84,
mol,71,
molar,40,
molasses,22,
mold,10,
molecular,459,
molecularly,11,
molecules,186,
moment,19,
monitoring,177,
monkeys,16,
mono,16,
monoclonal,15,
monoculture,11,
monocytes,19,
monocytogenes,13,
monomeric,15,
monomers,35,
mononuclear,14,
monophyletic,16,
monosodium,11,
monoxide,12,
monte,10,
monthly,36,
months,237,
mood,19,
morales,10,
morbidity,36,
morelos,23,
moreno,9,
morning,16,
morphine,10,
morphological,350,
morphometric,52,
morphometry,14,
mortality,174,
mosaic,14,
mothers,38,
motif,12,
motility,47,
motion,11,
motivation,32,
motor,70,
mould,10,
mountain,24,
mounting,40,
mouse,78,
mouth,23,
movement,60,
moving,20,
mpa,23,
mpp,9,
mri,16,
mrna,116,
mrsa,10,
mtdna,10,
mtt,15,
mucosa,32,
mucosal,27,
mugil,30,
mugil_cephalus,15,
mugil_curema,18,
mugilidae,12,
mullet,18,
mullet_mugil,10,
multi,41,
multicentric,9,
multifactorial,11,
multiparous,14,
multiple,196,
multivariate,91,
municipalities,61,
murashige,18,
murashige_skoog,18,
murine,37,
muscarinic,11,
muscle,115,
muscular,18,
musculoskeletal,10,
museum,13,
mutagenic,12,
mutant,67,
mutations,73,
mutual,12,
mycelia,14,
mycelial,17,
mycelium,26,
mycobacterium,11,
mycological,14,
mycorrhizal,22,
myocardial,10,
naa,9,
nacional,41,
nacl,38,
nadph,18,
nadph_oxidase,9,
nads,10,
naive,14,
naloxone,10,
named,43,
nanoparticles,31,
naproxen,9,
narica,11,
narrow,23,
nasal,9,
nasua,11,
nasua_narica,10,
national,176,
nationally_representative,10,
native,155,
natural,555,
nauplii,9,
ndf,23,
near,85,x
nearly,54,
necessarily,18,
necessary,164,
necessity,13,
neck,23,
necrosis,69,
nectar,10,
needed,161,x
negative,330,
neglected,17,
negligible,21,
nematode,14,
neonatal,69,
neoplasms,39,
neoplastic,12,
neotropical,28,
nerve,33,
nervous,52,
nest,33,
net,59,
network,116,
neural,36,
neurodegeneration,14,
neurodegenerative,32,
neuroendocrine,11,
neurological,30,
neurons,75,
neuropathic,19,
neuropathic_pain,17,
neurophysiological,9,
neuroprotective,34,
neurotoxicity,23,
neurotransmitter,20,
neutral,75,
neutral_detergent,29,
neutrophils,24,
newborn,44,
newly,22,
nicaragua,9,
niche,35,
nickel,9,
niger,77,
night,18,
nigra,9,
nile,10,
nile_tilapia,9,
ninety,17,
nino,9,
nitrate,76,
nitric,28,
nitric_oxide,28,
nitrification,29,
nitrifying,27,
nitrite,29,
nitro,18,
nitrogen,119,
nitrophenyl,11,
nixtamalized,16,
nmda,18,
nmol,15,
nmr,59,
nocardia,14,
nociception,30,
noctuidae,11,
nocturnal,15,
node,23,
nodules,15,
noise,11,
nomenclatural,11,
non,562,x
nonetheless,28,
nonlinear,21,
nonparametric,9,
nopal,12,
noradrenergic,12,
norepinephrine,12,
norethisterone,16,
normal,241,
norms,9,
norte,14,
north,80,x
northeastern,14,x
northern,75,x
northwest,12,
northwestern,17,x
nos,10,
nose,17,
notably,41,
noted,34,
noteworthy,12,
noticeable,25,
notion,23,
nourished,37,
nov,48,
novel,225,x
novelty,15,
november,32,
novo,17,
nowadays,18,
nrf,24,
nuclear,107,
nuclei,40,
nucleophilic,9,
nucleotide,40,
nucleus,45,
nuevo,13,
null,15,
number,583,x
numerous,95,
nurse,17,
nutraceutical,15,
nutrient,97,
nutritional,144,
oak,11,
oat,20,
oaxaca,77,
obesity,84,
objective,644,x
objetivo,9,
obligate,9,
observed,1180,x
obstructive,16,
obtained,1165,x
occasionally,15,
occasions,15,
occupational,26,
occupied,18,
occurred,401,
occurrence,85,x
ocean,59,
oceanographic,12,
october,31,
ocular,10,
odds,67,
odontogenic,54,
odor,14,
oestradiol,15,
oestrous,10,
oestrus,10,
offer,106,x
official,21,
offspring,34,
oft,10,
oil,152,
old,222,
older,79,x
oleanolic,10,
oleic,19,
oligomers,9,
oligosaccharides,18,
onca,15,
oncogenic,9,
oncology,10,
ones,67,x
ongoing,20,
online,15,
onset,93,
oocyte,49,
open,177,
operation,177,
opioid,12,
opportunistic,11,
opportunity,51,
opposed,9,
opposite,43,
optical,46,
optimal,161,
optimum,54,
option,50,
opuntia,39,
opuntia_ficus,20,
oral,238,
orange,31,
orchid,10,
order,512,x
ordinal,14,
oreochromis,12,
org,14,
organelles,11,
organic,554,
organochlorine,15,
orientation,44,
origin,179,
ornamental,19,
ors,9,
ortega,9,
ortho,10,
orthogonal,10,
oryzae,10,
oscillations,18,
osmotic,19,
osteoarthritis,10,
ostreatus,16,
outbreaks,12,
outcomes,133,
outdoor,12,
outer,18,
outline,15,
outpatients,17,
output,19,
outside,29,
outstanding,11,
ovarian,42,
ovariectomized,22,
ovary,34,
overall,274,x
overcome,29,
overestimation,9,
overexpression,48,
overflow,14,
overlap,37,
overload,15,
overlooked,9,
overproducing,10,
overview,16,
overweight,33,
ovulation,39,
owing,18,
owners,10,
oxalate,9,
oxford,23,
oxford_university,23,
oxidase,48,
oxidative,426,
oxidative_stress,157,
oxo,10,
oxygen,211,
oxytocin,14,
oysters,12,
ozone,17,
pace,10,
pacific,131,
packaging,29,
packed,50,
page,43,
pahs,23,
pai,13,
pain,83,
pairs,78,
pairwise,9,
palate,17,
palmitic,18,
panama,11,
panamensis,10,
pancreas,10,
pancreatic,33,
pandemic,19,
panel,27,
panthera,15,
papain,17,
papaya,11,
papillae,12,
papillomavirus,16,
par,13,
para,44,
paradigm,18,
paradoxical,10,
parallel,40,
parameters,438,
parametric,12,
parasite,86,
parental,54,
parity,11,
park,21,
parkinson,26,
partial,202,
participants,310,
particles,124,
particular,124,
particularly,174,
particulate,35,
partitioning,34,
partly,15,
partner,13,
parts,65,x
partum,13,
parturition,21,
pas,17,
passage,9,
passed,23,
passive,21,
past,75,
pasta,9,
pasture,26,
patches,30,
path,22,
pathogenesis,44,
pathogenic,120,
pathological,84,
