words,count,action
pathophysiology,28,
pathway,232,
patients,445,
patterns,458,
pavona,9,
paw,22,
pbs,9,
pca,25,
pco,15,
pcp,9,
pcr,138,
pdna,16,
peak,96,
pear,14,
pearson,15,
pectin,24,
pectinase,12,
pediatric,15,
pediococcus,12,
pedro,9,
peel,26,
pelibuey,17,
pellets,22,
pellucida,12,
pen,24,
penaeus,13,
penaeus_litopenaeus,10,
penetration,23,
penicillin,22,
penicillium,29,
penicillium_chrysogenum,12,
peninsula,36,
pentane,10,
people,118,x
peptide,79,
perceived,34,
percent,54,
percentage,289,
percentile,13,
perception,57,
perennial,12,
perez,16,
performed,897,
perfusion,11,
pericarp,10,
pericentral,13,
perinatal,11,
period,525,
periodontal,16,
peripheral,76,
peritoneal,10,
perlite,16,
permanent,39,
permanent_dentition,10,
permeability,38,
permissions,21,
permitted,58,
peromyscus,11,
peroxidase,67,
peroxidation,113,
peroxisome,13,
peroxisome_proliferator,12,
persistence,91,
personal,59,
perspective,49,
perturbations,26,
peru,11,
pest,31,
pesticides,39,
pet,12,
petal,10,
petri,10,
petrochemical,11,
petroleum,28,
pharmaceutical,67,
pharmacodynamic,11,
pharmacognosy,9,
pharmacokinetics,19,
pharmacological,106,
phase,308,
phaseolus,11,
phaseolus_vulgaris,9,
phe,10,
phenolic,136,
phenology,16,
phenomena,30,
phenomenon,41,
phenotype,141,
phenyl,19,
phorbol,9,
phosphatase,14,
phosphate,65,
phospholipase,9,
phospholipid,10,
phosphorus,21,
phosphorylation,58,
photo,10,
photobioreactor,9,
photocatalyst,14,
photocatalytic,19,
photographs,15,
photosynthesis,9,
photosynthetic,24,
phthalate,11,
phycological,20,
phyla,13,
phylogenetic,110,
phylogeny,17,
phylogeographic,9,
physical,181,
physicians,13,
physico,12,
physicochemical,107,
physiological,264,
phytochemical,34,
phytoplankton,21,
phytoremediation,16,
picrylhydrazyl,9,
picture,10,
piece,11,
pifir,13,
piglets,33,
pigments,52,
pigr,9,
pigs,90,
pilot,24,
pine,12,
pinus,9,
pisces,16,
pit,15,
pituitary,32,
pivotal,10,
pka,11,
place,149,x
placebo,15,
placement,9,
plankton,22,
planning,55,
plant,456,
plantain,9,
plantarum,23,
plantations,14,
plantlets,9,
plaque,17,
plasma,166,
plasmid,36,
plastic,66,
plastid,10,
plate,48,
plateau,12,
platelet,13,
platform,27,
plausible,9,
play,227,
pleistocene,10,
pleurotus,22,
pleurotus_ostreatus,16,
plots,53,
plus,120,x
pneumonia,13,
pocillopora,12,
pocket,13,
pod,11,
point,217,
poisoning,10,
poisson,12,
polar,52,
policy,88,
polish,24,
polish_academy,20,
political,29,
pollen,18,
pollination,21,
pollution,154,
poly,24,
polyacrylamide,9,
polycyclic,32,
polycyclic_aromatic,32,
polyethylene,16,
polyherbal,11,
polymer,42,
polymerase,46,
polymerase_chain,40,
polymeric,37,
polymorphisms,73,
polynomial,12,
polypeptide,16,
polyphenol,37,
polysaccharide,22,
polyunsaturated,12,
polyurethane,32,
polyurethane_foam,29,
ponds,19,
pooled,42,
poor,112,
poorly,48,
popular,16,
population,600,
por,18,
porcine,39,
pore,34,
porites,14,
porites_panamensis,10,
pork,19,
porosity,10,
porous,27,
portion,37,
pose,23,
positive,530,
possess,88,x
possible,504,x
post,166,
posterior,29,
postharvest,18,
postnatal,17,
postoperative,10,
postpartum,21,
postulated,13,
pot,23,
potassium,40,
potato,13,
potency,47,
potent,68,
potential,795,x
potosi,9,
poultry,9,
poverty,10,
powder,36,
power,92,
ppar,13,
pparα,11,
pparγ,17,
ppm,37,
practices,194,
prawn,9,
pre,114,x
prebiotic,19,
preceding,24,
precipitation,54,
precise,47,
preclinical,15,
precursor,38,
predation,32,
predicted,268,
predictors,44,
predisposing,14,
predominant,68,
predominantly,22,
preference,93,
preferentially,28,
prefrontal,9,
pregnancy,53,
pregnant,31,
preliminary,33,
premature,25,
prenatal,14,
preoptic,12,
prepared,211,
presence,703,
presented,495,x
preserved,123,
press,140,x
pressure,124,
presumably,18,
pretreatment,65,
prevailing,19,
prevalence,241,
prevent,275,
previous,194,x
previously,266,x
prey,22,
primarily,36,
primary,190,
primates,11,
primers,23,
priming,17,
primiparous,12,
principal,118,x
principles,30,
prior,91,x
prioritize,12,
priority,48,
pristine,13,
private,27,
pro,79,
probably,221,
probe,46,
probiotic,44,
problem,179,
procedure,133,
process,881,
procyon,9,
produccion,12,
produced,850,x
production,1171,
proestrus,10,
professionals,24,
profile,322,
profitability,17,
profound,9,
progesterone,88,
progestins,27,
prognosis,33,
prognostic,21,
programme,24,
programs,124,
progress,159,
proinflammatory,25,
project,89,
proliferation,123,
proliferative,28,
prolonged,39,
prominent,25,
promising,91,
promote,246,x
prompted,16,
prone,19,
pronounced,34,
propagation,25,
proper,26,
properly,10,
properties,439,x
propionate,62,
proportion,203,
proposal,48,
propria,14,
prosopis,22,
prospective,41,
prostaglandin,14,
prostate,56,
protease,50,
protection,242,
protein,801,
proteinase,16,
proteobacteria,24,
proteolysis,12,
proteolytic,28,
proteomic,15,
protocol,83,
proton,20,
protozoa,10,
protozoan,22,
proved,74,x
proven,33,
provides,314,x
province,14,
provision,10,
provoked,28,
proximal,45,
psacalium,10,
pseudo,15,
pseudomonas,35,
pseudomonas_aeruginosa,12,
psychiatric,32,
psychological,13,
public,170,
published,349,x
puebla,35,
puerto,21,
puerto_vallarta,9,
puf,12,
pulmonary,26,
pulp,30,
pulses,63,
puma,12,
puma_concolor,10,
pumps,12,
pups,21,
purchase,11,
pure,43,
purification,29,
purified,90,
purity,14,
purple,15,
purpose,259,x
purpurea,10,
putative,52,
pyrene,14,
pyridin,9,
pyruvate,12,
qpcr,26,
qrt,12,
quadratic,29,
qualitative,50,
quality,321,
quantification,48,
quantified,186,
quantitative,102,
quantity,66,
quantum,27,
quarter,10,
quasi,9,
que,10,
quercetin,22,
quercus,10,
queretaro,10,
questionnaire,88,
questions,64,
quin,9,
quinolinic,10,
quinones,9,
quintana,12,
quintana_roo,12,
quintile,10,
quotient,15,
rabbit,69,
raccoons,10,
radial,22,
radiation,45,
radical,67,
radical_scavenging,17,
radioactive,15,
radiographic,13,
radiotherapy,12,
radius,18,
rain,20,
rainfall,32,
rainy,54,
rainy_season,38,
raised,47,
raman,10,
ramirez,14,
randomized,128,
randomly,118,
randomly_assigned,54,
range,538,x
rank,39,
rapid,110,x
rapidly,57,
rare,84,
rate,808,x
ratio,376,
rational,46,
rationale,9,
rats,481,
raw,62,
ray,84,
ray_diffraction,40,
rbcl,26,
rdna,28,
rds,9,
reached,253,x
reactants,12,
reacted,28,
reaction,279,
reactive,166,
reactor,129,
readily,27,
reading,16,
ready,10,
reagents,9,
realized,11,
rearing,29,
rearrangements,16,
reason,66,x
recalcitrant,15,
received,194,x
receiver_operating,9,
recent,272,
receptive,22,
receptor,305,
recessive,13,
reciprocal,11,
recirculation,10,
recognised,14,
recognition,56,
recognized,99,x
recombinant,53,
recommended,94,
reconstituted,9,
reconstruction,23,
recorded,381,x
recovered,92,
recovery,118,
recruitment,61,
recurrence,48,
recycled,15,
red,86,
redistribution,11,
redox,55,
reduced,826,x
reductase,70,
reduction,360,
reef,35,
reference,168,
referral,12,
refined,15,
reflected,126,
refractory,14,
refrigerated,26,
regard,65,x
regardless,81,x
regeneration,33,
regime,29,
regimen,10,
region,513,
regioselective,11,
registered,73,x
registration,26,
regression,222,
regular,38,
regularly,13,
regulation,330,
regulatory,46,
rehabilitation,12,
reinforce,28,
rejection,17,
related,839,x
relationship,376,
relative,334,
relaxation,24,
release,202,x
relevant,200,
reliable,70,
relief,10,
rely,23,
rem,27,
rem_sleep,27,
remained,348,x
remarkable,48,
remediation,31,
remodeling,22,
remote,18,
remote_sensing,9,
removal,225,
renal,24,
rendering,14,
renewable,15,
repair,33,
repeated,71,x
reperfusion,9,
repetitive,15,
replacement,83,
replication,73,
reported,766,x
represent,404,
representation,28,
repression,37,
reproduce,64,
reproductive,237,
republic,22,
required,307,x
research,375,
resection,12,
resembles,45,
reserved,789,x
reservoir,31,
residence,78,
residues,155,
resilience,20,
resin,9,
resistance,258,
resistin,10,
resolution,59,
resolved,25,
resonance,44,
resources,138,
respectively,996,x
respiration,26,
respiratory,95,
respirometry,13,
respondents,91,
response,765,
rest,68,x
restored,78,
restricted,102,x
restructured,11,
resulted,504,x
retained,60,
retardation,13,
retention,61,
reticulocytes,9,
reticulum,10,
retrieved,24,
retrogradation,11,
retrospective,39,
rets,10,
returned,28,
reuptake,13,
reuse,14,
revealed,383,x
reverse,115,x
reverse_transcriptase,13,
reverted,17,
review,133,
revised,21,
reyes,9,
rflp,9,
rhamnosus,11,
rheological,31,
rheology,12,
rheumatic,10,
rheumatoid,12,
rheumatoid_arthritis,12,
rheumatology,9,
rhizome,9,
rhizopus,20,
rhizosphere,26,
rho,11,
rhodomelaceae,11,
rhodophyta,43,
rhythm,18,
ribosomal,24,
ribs,9,
rica,18,
rice,16,
rich,140,
rights,806,
rights_reserved,744,
rigid,9,
ring,85,
rinm,9,
rio,16,
ripening,19,
rise,52,
risk,418,
river,48,
rna,55,
rnai,10,
road,18,
robust,44,
robustus,15,
roc,11,
rock,23,
rocky,15,
rod,14,
rodents,32,
rodriguez,17,
role,535,
roo,13,
room,35,
root,110,
ros,62,
rose,25,
rot,14,
rotation,34,
rotifera,9,
rotifers,19,
roughly,9,
round,13,
route,60,
routine,28,
royal,28,
rpm,23,
rrna,69,
ruiz,9,
rule,19,
rumen,32,
ruminal,78,
run,25,
ruptured,11,
rural,39,
saanen,12,
saccharomyces,29,
saccharomyces_cerevisiae,28,
sacrificed,28,
safe,32,
safety,47,
saharan,22,
said,9,
salient,9,
salinas,11,
salinity,94,
saliva,16,
salivary,21,
salmonella,29,
salt,70,
salud,14,
salvia,15,
samples,832,x
san,56,
sanchez,13,
sand,20,
sandy,9,
sanitary,9,
santa,12,
santiago,11,
santos,9,
sarcoma,15,
sars,30,
sars_cov,19,
sas,37,
satellite,11,
satisfy,14,
sativa,9,
saturated,48,
sausages,16,
saving,12,
scaffold,13,
scale,274,
scanning,130,
scanning_electron,66,
scar,10,
scarce,79,
scarcity,9,
scattered,28,
scavenging,44,
sce,9,
scenarios,51,
scenedesmus,13,
schedule,11,
scheme,40,
schltdl,9,
school,60,
schoolchildren,39,
sci,24,
science,551,
science_business,249,
scientific,54,
scientists,18,
scientists_technologists,11,
scope,13,
score,159,
screening,125,
scrub,11,
sdg,10,
sdi,21,
sds,54,
sds_page,36,
sea,67,
seafood,9,
seagrass,10,
search,91,
season,180,
seawater,11,
second,252,
secondary,192,
secretion,112,
secretory,34,
sectional,152,
sector,21,
security,18,
sedative,12,
sedentary,10,
sediments,66,
seed,140,
seedlings,43,
seeking,29,
seen,72,x
segments,65,
segregation,33,
seizures,18,
selected,458,x
selenium,12,
self,98,
selper,14,
sem,51,
semen,27,
semi,75,
semi_arid,26,
semiarid,19,
semiconductor,12,
seminal,39,
seminal_vesicles,19,
seminiferous,16,
seminiferous_tubules,11,
senescence,18,
sensing,40,
sensitivity,201,
sensor,17,
sensory,84,
sensu,11,
separation,203,
september,33,
sequences,302,
sequential,46,
ser,16,
sera,26,
serial,13,
series,144,
serine,17,
serological,29,
seroprevalence,18,
serotonergic,20,
serotonin,34,
serotonin_reuptake,9,
serotoninergic,15,
serum,189,
serve,75,
services,84,
sesquiterpene,9,
sessions,11,
sets,88,
settlement,10,
settling,9,
seven,189,x
seventy,19,
severe,212,
sex,162,
sexual,160,
shade,17,
shake,14,
shake_flasks,12,
shallow,24,
sham,27,
shape,111,
share,67,
sharp,11,
shear,25,
shed,19,
sheep,51,
sheet,26,
shelf,32,
shell,9,
shift,69,x
shock,27,
shoots,33,
short,194,x
shortened,14,
shorter,46,
showed,1854,x
shown,226,x
shrimp,52,
shrub,23,
shrubland,10,
sib,10,
sibling,14,
siderophore,10,
sides,11,
sierra,40,
sierra_madre,19,
sigmoidal,11,
signal_transduction,9,
signaling,157,
signatures,12,
significance,66,
significantly,694,x
signs,48,
silage,28,
silencing,11,
silica,21,
silico,39,
silicone,9,
silver,15,
silverside,12,
similar,685,
similarly,64,x
simple,103,
simplified,19,
simply,9,
simulated,164,
simultaneous,122,x
single,264,
sio,11,
sires,18,
sister,25,
sister_chromatid,9,
sites,349,
situ,85,
situation,53,
sixteen,15,
sixth,10,
sizes,78,
skeletal,23,
skeleton,12,
skin,73,
sklu,9,
skoog,19,
slaughter,23,
slaughterhouse,10,
slc,10,
sle,11,
sleep,50,
slices,13,
slides,21,
slight,36,
slightly,74,
slope,34,
slow,75,x
slower,27,
slowly,33,
slowly_digestible,16,
sludge,93,
small,266,
smaller,87,x
smallest,18,
smf,27,
smokers,17,
smoking,34,
smooth,47,
snps,26,
sobre,15,
soc,10,
social,118,x
sociedade,31,
sociedade_brasileira,18,
society,444,
socio,50,
sociodemographic,29,
socioeconomic,35,
sod,44,
sodium,98,
soft,36,
software,33,
soil,186,
sol,22,
sol_gel,22,
solani,10,
solar,13,
sold,9,
sole,44,
solid,298,
solid_state,150,
solitary,9,
solubilization,11,
soluble,149,
solution,215,
solve,23,
solvent,71,
somatic,26,
sonication,13,
sonorae,15,
sons,123,
sorghum,26,
sorption,20,
sought,24,
sound,12,
source,424,
south,121,x
southeast,20,x
southeastern,19,x
southern,107,
southwestern,21,x
sows,33,
soybean,21,
space,62,
spacer,9,
spain,25,
span,31,
spanish,31,
spatial,138,
spatio,11,
spatiotemporal,11,
spawning,18,
spearman,13,
special,70,
specialist,10,
speciation,17,
species,1006,
specific,607,x
specified,9,
specimens,96,
spectra,59,
spectral,25,
spectrometric,10,
spectrometry,56,
spectrophotometric,13,
spectrophotometry,15,
spectroscopic,42,
spectroscopy,109,
spectrum,49,
speed,27,
spent,23,
sperm,109,
spermatogenesis,20,
spermatozoa,65,
spherical,25,
spider,13,
spiked,29,
spinal,33,
spinal_cord,26,
spindle,9,
spines,19,
spite,30,
spleen,22,
splicing,11,
splitting,11,
spoilage,17,
sponge,14,
spontaneous,47,
sporadic,14,
spores,63,
sporulation,17,
spot,25,
spp,87,
spray,30,
spray_drying,18,
spread,32,
spring,27,
springiness,9,
squamous,22,
square,72,
src,9,
ssc,18,
ssf,59,
stability,222,
stable,107,
stage,297,
staining,89,x
stainless,10,
stainless_steel,9,
standard,212,
standardised,32,
stands,36,
staphylococcus,42,
staphylococcus_aureus,32,
star,16,
starch,107,
starter,23,
starting,104,
state,579,
statement,9,
static,16,
stationary,22,
stations,29,
statistical,262,
status,192,
stay,12,
steadily,10,
steady,42,
steam,12,
stearic,9,
steatosis,9,
steel,19,
steers,11,
stellate,11,
stem,78,
step,142,
stepwise,13,
steric,9,
sterile,28,
steroids,107,
stigma,9,
stillbirths,15,
stimulation,218,
stimulatory,17,
stimuli,32,
stimulus,27,
stirred,35,
stirred_tank,19,
stochastic,12,
stocking,24,
stoichiometric,16,
stomach,11,
stopped,24,
storage,136,x
stored,78,
stover,16,
straightforward,10,
strains,359,
stramonium,10,
strand,25,
strategies,294,
stratification,10,
stratified,29,
straw,47,
streams,15,
streets,11,
strength,73,x
strengthen,27,
streptococcus,23,
streptococcus_thermophilus,10,
streptomyces,11,
streptozotocin,13,
stress,336,
stressors,23,
striatal,20,
striatum,24,
strict,14,
striking,11,
striped,9,
strips,9,
stroke,20,
strong,145,
stronger,40,
strongest,18,
strongly,113,
structure,661,x
students,53,
stuttgart,11,
study,66,x
style,14,
sub,61,x
sub_saharan,22,
subcellular,14,
subchronic,9,
subcutaneous,41,
subgenus,11,
subgroups,23,
subjects,285,
sublethal,16,
submerged,64,
submitted,49,
subnational,15,
subpopulations,12,
subsequent,124,x
subset,31,
subsp,20,
substance,100,
substantia,9,
substantia_nigra,9,
substantial,76,
substituent,26,
substituted,80,x
substrate,256,
subtilis,18,
subtropical,26,
subtype,45,
subunit,48,
successful,153,
successfully,57,
succinate,15,
sucrose,54,
suffering,50,
sufficient,36,
suffolk,13,
sugar,95,
sugar_cane,20,
sugarcane,26,
suggest,1141,x
suicide,30,
suitable,106,x
sulfamethoxazole,12,
sulfate,79,
sulfide,41,
sulfonate,22,
sulfur,44,
sulphate,26,
sum,38,
summarizes,17,
summary,48,
summer,24,
sun,9,
sup,11,
sup_sup,11,
super,12,
superficial,30,
superior,33,
supernatant,19,
superoxide,57,
superoxide_dismutase,48,
supplementation,167,
supply,65,
support,424,
suppressed,55,
suppressor,13,
sur,27,
surface,322,
surfactant,16,
surgery,41,
surgical,46,
surprisingly,17,
surrounding,49,
surveillance,16,
survey,197,
survival,245,
susceptibility,136,
suspected,9,
suspended,27,
suspension,79,
sustainable,113,
sweet,17,
swelling,34,
swimming,38,
swine,26,
swiss,9,
switch,9,
switzerland,192,x
sympatric,15,
symptomatic,10,
symptoms,79,
synaptic,16,
synchronized,38,
syndecan,10,
syndrome,105,
synergism,20,
synergistic,44,
synonym,10,
synthase,32,
synthesis,215,
synthesized,123,
synthetase,15,
synthetic,118,
systematic,84,
systems,422,
systolic,22,
tabasco,9,
table,33,
tablets,25,
tac,9,
tag,15,
tagetes,9,
tail,47,
taken,149,x
taking,82,x
tamaulipas,11,
tamoxifen,9,
tandem,11,
tank,51,
tannins,15,
taqman,9,
target,213,
task,37,
taste,21,
tau,12,
taurus,10,
taxa,86,
taxon,35,
taxonomic,79,
taxonomy,20,
taylor,162,x
taylor_francis,157,x
tbars,22,
technical,19,
techniques,284,
technologists,22,
technology,131,
tecnologia,9,
teeth,32,
tehuacan,30,
tehuacan_cuicatlan,23,
tehuantepec,14,
tem,12,
temperate,36,
temperature,400,
template,14,
temporal,124,
temporary,14,
tended,82,
tendency,42,
tenderness,9,
tensile,17,
tensile_strength,16,
tension,19,
tequila,9,
term,353,
terminal,60,
terminos,10,
terrestrial,18,
terreus,9,
territories,44,
tert,15,
tertiary,25,
test,895,
testicles,12,
testicular,34,
testis,20,
testosterone,107,
tetradecanoylphorbol,14,
tetrahydro,14,
tetrasporangia,12,
texas,10,
texture,89,
tgas,9,
tgf,16,
thallus,12,
thawed,18,
theca,11,
theoretical,73,
theory,75,
therapeutic,131,
therapy,143,
thermal,132,
thermo,9,
thermodynamic,39,
thermophilus,10,
thermostable,20,
thermotolerant,19,
thickenings,10,
thickness,48,
thieme,9,
thinning,11,
thiobacillus,9,
thiobarbituric,21,
thiol,11,
thiooxidans,9,
thiosulfate,15,
thirteen,11,
thirty,74,x
thoracic,11,
thought,26,
thousands,16,
threatened,44,
threats,39,
threefold,9,
threshold,36,
throughput,9,
thyroid,15,
tick,9,
tight,15,
tilapia,21,
tillage,13,
tillandsia,17,
tim,13,
times,341,
timp,9,
tio,24,
tissue,286,
titanium,9,
titers,19,
titratable_acidity,12,
titration,33,
tlaxcala,11,
tlr,9,
tnf,83,
tnfα,11,
tobacco,32,
tocopherol,10,
tof,9,
tolerance,128,
toluene,36,
tomato,20,
tongue,17,
tonic,12,
tons,18,
took,33,
tool,175,
tooth,31,
topical,33,
topographic,13,
topological,16,
tortillas,13,
total,800,x
tourism,10,
tourist,11,
town,12,
toxic,245,
toxicological,22,
toxin,31,
toxocara,10,
tpa,32,
trace,33,
tracer,12,
track,23,
tract,59,
trading,63,
traditional,162,
traditionally,33,
traffic,10,
training,56,
traits,105,
trajectories,10,
trans,25,
transcriptase,13,
transcription,105,
transcriptome,17,
transduction,13,
transects,20,
transfected,25,
transfer,118,
transferase,28,
transformation,159,
transgenic,14,
transient,36,
transition,120,
translation,38,
translocation,40,
transmission,67,
transmitted,19,
transparent,16,
transplant,11,
transport,169,
transverse,19,
trapped,39,
trauma,11,
traumatic,21,
travel,11,
treated,495,x
treatment,1054,
tree,83,
trends,133,
tri,15,
trial,71,
trichoderma,16,
trichoderma_harzianum,9,
trichomonas,11,
trichomonas_vaginalis,11,
trigger,62,x
triglycerides,53,
triosephosphate,22,
triosephosphate_isomerase,22,triosephosphate
triphosphate,11,
triple,19,
triplicate,9,
trips,9,
triterpenes,15,
trolox,13,
trophic,23,
trophozoites,9,
tropical,196,
trp,12,
true,19,
truncated,11,
trust,9,
trypanosoma,23,
trypanosoma_cruzi,20,
trypsin,17,
tryptophan,15,
tube,30,
tuberculosis,22,
tubular,15,
tubules,15,
tukey,16,
tumor,175,
tumour,31,
tuned,13,
tunel,10,
turn,73,x
turnover,17,
twice,47,
twofold,12,
type,689,x
typhimurium,14,
typical,82,
tyr,11,
tyrosine,29,
uam,16,
uasb,25,
ubiquitous,9,
ulcers,19,
ultimately,14,
ultra,11,
ultrasonic,9,
ultrasound,31,
ultrastructural,23,
ultraviolet,25,
umbilical,20,
una,29,
unable,28,
unaffected,22,
unaltered,11,
unam,10,
uncertain,12,
uncertainty,55,
unchanged,27,
unclear,41,
underestimated,20,
undergo,49,
underlying,74,
understanding,281,
understood,55,
undertaken,23,
underwent,43,
undescribed,10,
undesirable,13,
undetectable,13,
unequal,9,
unexpected,9,
unfavorable,14,
unfolding,36,
unfortunately,9,
unicystic,14,
unidentified,10,
uniform,27,
unilateral,11,
union,19,
unique,64,x
united_states,37,
units,188,
univariate,9,
universidad,53,x
universidad_autonoma,12,x
universidad_nacional,20,x
university,126,x
unknown,99,x
unlike,31,x
unpredictable,9,
unrelated,14,
unripe,9,
unsaturated,13,
unstable,9,
untreated,55,
unusual,22,
updated,43,x
upflow,26,
upper,35,x
upregulated,32,
upstream,9,
uptake,72,x
urban,83,
urea,40,
urgent,18,
uric,13,
urinary,15,urinary
urine,21,urinary
usa,51,x
usage,10,x
useful,306,x
users,19,
usp,11,
usually,71,x
uterine,30,
uterus,17,
utilization,106,x
vacas,9,
vaccine,30,
vacuoles,15,
vacuum,9,
vagina,9,vaginal
vaginal,23,vaginal
vaginalis,12,vaginal
validated,162,x
vallarta,9,x
valle,10,x
valley,35,x
valorization,13,
valuable,62,x
values,881,
valve,14,
van,11,
vannamei,24,
vapor,19,
var,55,
variables,479,
variance,68,x
variants,87,variation
variation,302,variation
varied,222,variation
variety,107,variation
vascular,64,
vast,11,
vch,62,
vector,45,
vegetation,142,
vegf,13,
vehicle,78,
vein,15,
velocity,34,
venezuela,11,x
venom,12,
ventral,18,
ventricle,9,
veracruz,58,x
verbal,9,
verified,31,
versatile,15,
version,35,
versus,104,x
vertebrates,20,
vertical,31,
vesicles,51,
vessels,24,
veterinary,21,
vfa,17,
vhb,12,
viability,148,
viable,71,x
vibrio,17,
video,12,
viejo,10,
view,49,
vigor,14,
vimentin,10,
violence,30,
viral,39,
virtual,20,
virulence,38,
virus,61,virus
viruses,16,virus
vis,17,
visceral,12,
viscoelastic,31,
viscosity,46,
visible,29,
visitors,22,
visits,32,
visual,58,
vital,49,
vitamin,30,
vitreoscilla,16,
vitreoscilla_hemoglobin,12,vitreoscilla
vitro,436,
vivo,203,
vmax,16,
vocs,15,
volatile,77,
volcanic,18,
volcanic_belt,10,volcanic
volcano,14,
voltage,20,
voltammetry,10,
volume,124,
volumetric,24,
volunteers,36,
von,20,
von_frey,9,
vulgaris,27,
vulnerability,45,
waist,15,
waist_circumference,13,
wake,16,
walking,13,
wall,85,
wallis,12,
walter,18,
walter_gruyter,18,
warm,29,
warranted,20,
washed,30,
waste,101,
wastewater,96,water
water,567,
wave,32,
wax,14,
way,154,
weak,40,
weaning,34,
weather,17,
web,16,
weed,13,
weekly,24,
weeks,227,
weibull,10,
weighed,34,
weight,496,x
weinheim,20,
welfare,47,
wells,9,
west,27,
western,111,west
western_blot,40,west
wet,39,
wetland,15,
wheat,51,
whey,28,
whilst,15,
white,140,
whitney,13,
wide,264,
wider,16,
widespread,42,
width,25,
wild,145,
wildlife,27,wild
wiley,309,x
wiley_periodicals,81,x
wiley_vch,62,x
wilkins,10,
willd,11,
williams,12,
wind,23,
windows,11,
winter,31,
wistar,101,
withdrawal,22,
wolters,21,
wolters_kluwer,21,wolters
woman,11,
women,154,woman
wood,18,
words,9,
workers,19,
working,57,
world,170,
worldwide,120,
worse,18,
worsening,9,
worst,12,worse
wound,23,
wound_healing,13,
wrl,12,
xochimilco,11,
xrd,20,
xylanase,21,
xylene,11,
xylose,12,
years,619,x
yeast,80,
yellow,29,
yield,357,x
ylds,12,
ylls,11,
yogurt,10,
york,61,x
yorkshire,11,
yorkshire_landrace,10,yoshire
young,79,
younger,34,young
yucatan,34,
yucatan_peninsula,27,yucatan
zapotitlan,9,
zea,22,
zea_mays,21,
zealand,18,
zero,31,
zinc,30,
zona,13,zone
zona_pellucida,10,
zone,119,
zoology,12,
zoology_pas,9,zoology
zooplankton,14,
